imdb_id,budget,revenue,certification,original_language
tt0169579,0.0,0.0,,nl
tt0170008,0.0,0.0,NR,en
tt0170016,123000000.0,345141000.0,PG,en
tt0170260,0.0,0.0,,en
tt0170367,0.0,0.0,,en
tt0170452,0.0,0.0,,en
tt0170508,0.0,0.0,,it
tt0170691,10000000.0,148701.0,R,en
tt0171339,0.0,0.0,,en
tt0171356,10000000.0,1631840.0,R,en
tt0171359,2000000.0,1568750.0,R,en
tt0171433,30000000.0,59945200.0,PG-13,en
tt0171580,24000000.0,0.0,R,en
tt0172156,130000000.0,273340000.0,R,en
tt0172464,0.0,0.0,,en
tt0172495,103000000.0,465361000.0,R,en
tt0172543,0.0,0.0,,en
tt0172632,0.0,0.0,,en
tt0172699,0.0,0.0,,en
tt0172794,0.0,0.0,R,en
tt0172949,100000.0,0.0,R,en
tt0172995,0.0,0.0,,en
tt0173498,0.0,0.0,R,en
tt0173568,0.0,0.0,,en
tt0173716,10000000.0,0.0,R,en
tt0173840,137000000.0,85131800.0,PG-13,en
tt0174336,3000000.0,0.0,R,en
tt0174480,65000000.0,0.0,PG-13,en
tt0174646,0.0,0.0,,en
tt0174732,0.0,0.0,,en
tt0175114,0.0,0.0,,en
tt0175142,19000000.0,278020000.0,R,en
tt0175526,0.0,0.0,R,en
tt0176185,0.0,0.0,NC-17,en
tt0176244,0.0,0.0,,en
tt0176579,0.0,0.0,,en
tt0176650,0.0,0.0,R,en
tt0176694,0.0,0.0,,en
tt0176783,14000000.0,5108820.0,R,en
tt0176883,0.0,0.0,PG,en
tt0177068,0.0,0.0,R,en
tt0177185,0.0,0.0,,en
tt0177195,30000.0,0.0,,en
tt0177213,0.0,0.0,,en
tt0177513,0.0,0.0,,en
tt0177636,0.0,0.0,,de
tt0177650,16000000.0,146193.0,PG-13,en
tt0177845,0.0,0.0,,en
tt0177858,0.0,0.0,,de
tt0177882,0.0,0.0,,de
tt0177885,3000000.0,0.0,,en
tt0177888,0.0,27.0,R,en
tt0177971,120000000.0,325757000.0,PG-13,en
tt0177997,0.0,0.0,,en
tt0178043,0.0,0.0,R,en
tt0178050,0.0,0.0,R,en
tt0178642,0.0,0.0,R,en
