collection_id,collection_name
713,Iqbal (Samling)
714,Iris Collection
715,Iron Girl Collection
716,Iron Man Collection
717,Iron Sky Collection
718,Ironclad Collection
719,It Collection
720,Ivan Tsarevich & the Grey Wolf Collection
721,Jack Reacher Collection
722,Jack in the Box Collection
723,Jack vs. Collection
724,Jackass Collection
725,Jacqueline Mazerin Collection
726,James Bond Collection
727,Jan Dara
728,Jannat Collection
729,Jarhead Collection
730,Jarle Klepp-trilogien
731,Jay and Silent Bob Collection
732,Jeepers Creepers Collection
733,Jeremy Jones Trilogy
734,Jet Set - Saga
735,Jiivi Collection
736,Jim Button Collection
737,Jism Collection
738,Joan of Arc Collection
739,Jodorowskys film autobiography
740,Joe Dirt Collection
741,John Wick Collection
742,Johnny 100 Pesos Collection
743,Johnny English Collection
744,Joséphine - Saga
745,Journey Collection
746,Journey to the West Collection
747,Joy Ride Collection
748,Ju-on Collection
749,Judwaa Collection
750,Julemandens Datter (Samling)
751,Jumanji Collection
752,Jump Street Collection
753,Jungle Cruise Collection
754,Jungle Jack Collection
755,Jurassic Park Collection
756,Jurassic Shark Collection
757,Justice League (DC Universe Animated) Collection
758,K-9 Adventures Collection
759,K.G.F Collection
760,KAIJI Collection
761,Kaguya-sama: Love is War - Collection
762,Kahaani Collection
763,Kaithi Collection
764,Kakegurui: The Movie
765,Kamen Rider (1971) Collection
766,Kamen Rider Agito Collection
767,Kamen Rider Amazons Collection
768,Kamen Rider Decade Collection
769,Kamen Rider OOO Collection
770,Kamen Rider The First Collection
771,Kamen Rider W Collection
772,Kandasamys Collection
773,Kangaroo Jack Collection
774,Karla Collection
775,Kartoffelsalat Filmreihe
776,Kazuo Umezus Horror Theater Collection
777,Keinohrhasen Filmreihe
778,Kekko Kamen Collection
779,Keluarga Cemara Collection
780,Kibakichi Collection
781,Kick-Ass Collection
782,Kickboxer (Reboot) Collection
783,Kidulthood Collection
784,Kill Bill Collection
785,Kill Buljo Collection
786,Killer Shrews Collection
787,Killing Cabos Collection
788,Killjoy Collection
789,Kindergarten Cop Collection
790,King Naresuan Collection
791,King of Guns Collection
792,Kingsman Collection
793,Kirikou Collection
794,Kizumonogatari
795,Klovn (filmene)
796,Knerten Collection
797,Knights of the Damned Collection
798,Knives Out Collection
799,Knocked Up Collection
800,Knutsen & Ludvigsen Collection
801,Kocan Kadar Konuş [Seri]
802,Koko Collection
803,Kolah Ghermezi
804,Krampus Collection
805,Krrish Collection
806,Kung Fu Masters Collection
807,Kung Fu Panda Collection
808,Kung Fu Traveler Collection
809,Kuntilanak Collection
810,Kuroko no Basket: Winter Cup Soushuuhen Collection
811,Kuroshithuji Collection
812,Kutsal Damacana [Seri]
813,Kvartet I Collection
814,Köstebekgiller [Seri]
815,L.O.R.D Collection
816,LEGO DC Comics Super Heroes Collection
817,LEGO DC Super Hero Girls Collection
818,LEGO: Hero Factory - Saga
819,LUPIN THE IIIRD Collection
820,La Abuela Collection
821,La Soga Collection
822,La befana vien di notte
823,La niña de tus ojos - Colección
824,Lady Ninja Kasumi Series
825,Laid To Rest Collection
826,Laissez-faire
827,Lake Fear Collection
828,Lan Kwai Fong Collection
829,Lapland Odyssey Collection
830,Largo Winch Collection
831,Las Leyendas Collection
832,LasseMajas Detektivbyrå (samling)
833,Laughing Gor（系列）
834,Lauras Stern Filmreihe
835,Lazer Team Collection
836,League of Gods
837,Leap collection
838,Left Behind Collection
839,Legally Blonde Collection
840,Legend of a Rabbit Collection
841,Lemon Popsicle Collection
842,Leprechaun Collection
843,Les Crevettes pailletées - Saga
844,Les Petits Mouchoirs - Saga
845,Lesní trilogie (kolekce)
846,Lesson of the Evil Collection
847,Let Him Be a Basketball Player Collection
848,Lethal Kittens Collection
849,Letters to Santa Collection
850,Lezioni di Cioccolato Collection
851,Liar Game Collection
852,Library Wars Collection
853,Life in a Day Collection
854,Life of Crime Collection
855,Lights Out Collection
856,Like Mike Collection
857,Like a Dragon Collection
858,Lilly the Witch Collection
859,Lilo & Stitch Collection
860,Line Walker Collection
861,Little Bear
862,Little Book of Love Collection
863,Little Forest Collection
864,Little Nicholas Trilogy
865,Little Witch Academia Collection
866,Live. Die. Repeat Collection
867,Living Dead Collection
868,Long Long Time Ago
869,Loro Collection
870,Los crímenes del sur
871,Lost Collection
872,Lotte Collection
873,Louis & Luca Collection
874,Louis Theroux & The Most Hated Family In America
875,Love Comes Softly Collection
876,Love For Sale Collection
877,Love Stories 2 Series
878,Love Stories Series
879,Love Undercover Collection
880,Love in a... Collection
881,Love in the City Collection
882,Lovey-Dovey Collection
883,Lucifer Collection
884,Lucy Collection
885,L♥DK
886,MVP
887,Maari Collection
888,Machete Collection
889,Machine Girl Collection
890,Macross Frontier Collection
891,Mad Max Collection
892,Madagascar Collection
893,Made in Abyss Collection
894,Madea - Collection
895,Magic Carpet Ride Collection
896,Magic Mike Collection
897,Magic Silver Collection
898,Magical Girl Lyrical Nanoha Collection
899,Major Korenev Trilogy
900,Major Mahadevan Collection
901,Make Me Shudder
902,Maleficent Collection
903,Malevolence Collection
904,Malibu Rescue Collection
905,Mall Cop Collection
906,Mamma Mia! Collection
907,Man and a Baby Collection
908,Man of Steel Collection
909,Mandie Movies Collection
910,Mang Kepweng Collection
