imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count
tt0149624,57000000.0,0.0,PG-13,en,2000-12-11,6.653,5.9,170
tt0150021,10000000.0,0.0,R,en,2001-01-09,5.38,4.0,40
tt0151150,6900000.0,15000000.0,,hi,2000-06-09,4.359,5.8,50
tt0151299,0.0,0.0,,en,2002-11-19,0.6,0.0,0
tt0151309,0.0,0.0,,en,2000-06-06,0.6,3.0,1
tt0151372,0.0,0.0,,sv,2000-08-26,1.644,8.0,6
tt0152083,0.0,0.0,,it,2001-08-30,1.122,0.0,0
tt0153012,0.0,0.0,,en,2002-10-15,0.6,2.0,1
tt0153100,0.0,0.0,,en,2000-09-21,0.6,0.0,0
tt0153464,0.0,0.0,,en,2000-04-14,3.426,5.3,24
tt0153533,0.0,0.0,,en,2001-03-01,0.6,0.5,1
tt0154352,0.0,0.0,,en,2000-03-17,0.841,0.0,0
tt0155150,0.0,0.0,R,en,1998-01-01,2.27,3.9,8
tt0155723,0.0,0.0,,en,2000-12-01,0.6,0.0,0
tt0155754,1800000.0,0.0,,en,2001-04-05,3.707,6.5,8
tt0156020,0.0,0.0,,en,2000-07-29,2.707,5.9,14
tt0156100,0.0,0.0,,de,2003-08-27,0.6,0.0,0
tt0156323,10000000.0,7201700.0,R,en,2000-05-12,5.95,5.7,65
tt0156376,0.0,0.0,NR,en,2002-02-14,1.483,0.0,0
tt0156741,0.0,0.0,R,en,2001-09-29,1.366,3.5,2
tt0156757,0.0,0.0,PG-13,en,2000-04-04,2.66,5.3,22
tt0156807,0.0,0.0,PG-13,en,2000-03-24,1.737,4.1,10
tt0156812,6000000.0,35547800.0,PG,en,2000-01-12,6.973,6.8,236
tt0156841,25000000.0,24362800.0,PG-13,en,2000-03-03,9.146,5.2,158
tt0156942,1200000.0,0.0,,en,2000-10-12,1.718,0.0,0
tt0157007,1400000.0,0.0,,en,2001-01-23,1.4,2.8,4
tt0157122,0.0,0.0,R,sv,2000-09-15,4.697,6.9,36
tt0157191,0.0,0.0,PG-13,en,2003-04-04,4.008,5.8,44
tt0157202,0.0,0.0,,en,2000-05-08,0.6,0.0,0
tt0157262,26000000.0,0.0,R,en,2000-10-31,7.197,4.4,185
tt0157472,26000000.0,38793300.0,PG,en,2002-03-17,9.04,5.2,239
tt0157583,0.0,15705000.0,R,en,2001-01-22,9.985,6.4,218
tt0157836,0.0,0.0,,en,2000-11-14,2.087,3.7,10
tt0158033,0.0,0.0,,en,2000-04-05,2.352,5.2,11
tt0158622,83000000.0,59468300.0,PG,en,2000-04-28,15.129,4.8,593
tt0159273,40000000.0,91753200.0,PG-13,en,2001-11-30,19.087,6.3,1150
tt0159290,0.0,0.0,,nl,2004-04-10,0.674,6.0,7
tt0159291,0.0,0.0,,en,2000-09-21,1.664,1.0,1
tt0159365,79000000.0,173014000.0,R,en,2003-12-24,12.904,6.9,1428
