tconst,averageRating,numVotes
tt0185542,6.2,432
tt0186029,5.0,79
tt0186045,5.7,14937
tt0186151,7.4,110244
tt0186183,6.1,3648
tt0186202,5.6,918
tt0186221,7.8,18
tt0186454,3.7,464
tt0186549,5.4,412
tt0186566,6.5,82766
tt0186589,5.7,14633
tt0186719,4.1,208
tt0186785,7.6,32
tt0186894,5.8,21157
tt0186975,5.0,15310
tt0187078,6.5,282408
tt0187387,5.4,138
tt0187393,7.2,279180
tt0187512,5.0,5700
tt0187559,5.9,855
tt0187696,6.0,13626
tt0187738,6.7,222551
tt0187750,4.8,365
tt0187761,5.8,118
tt0187847,6.7,43
tt0188028,6.9,150
tt0188045,5.4,297
tt0188055,5.4,2281
tt0188128,6.6,1311
tt0188160,6.1,884
tt0188424,7.4,15
tt0188453,6.0,25807
tt0188490,6.6,84
tt0188518,5.8,872
tt0188575,5.5,79
tt0188688,4.5,160
tt0189192,5.7,19557
tt0189456,4.3,3548
tt0189541,4.9,1593
tt0189998,6.9,42627
tt0190052,4.2,125
tt0190138,6.7,123065
tt0190332,7.9,272015
tt0190374,3.6,34026
tt0190398,4.9,226
tt0190449,6.2,88
tt0190524,4.3,10007
tt0190590,7.7,316546
tt0190736,4.2,612
tt0190861,6.6,7965
tt0190865,5.9,62754
tt0190938,5.4,997
tt0190994,4.6,146
tt0191037,5.6,2301
tt0191074,5.2,3376
tt0191133,5.5,7330
tt0191177,5.2,88
tt0191211,5.5,51
tt0191242,5.1,619
tt0191397,6.6,66337
tt0191636,7.1,5617
tt0191754,6.1,51369
tt0191787,5.9,79
tt0191996,6.0,4163
tt0192023,6.3,2582
tt0192071,5.7,19363
tt0192110,8.3,39
tt0192111,5.4,14798
tt0192126,4.1,625
tt0192237,6.8,143
tt0192255,5.7,10795
tt0192295,5.7,637
tt0192346,6.6,64
tt0192455,4.7,3815
tt0192528,4.0,121
tt0192614,5.6,32785
tt0192719,4.7,679
tt0192731,4.3,18062
tt0192788,6.3,1292
tt0192789,6.6,25
tt0192912,4.2,120
tt0192947,7.9,50
tt0192949,5.7,1763
tt0193011,5.2,51
tt0193135,5.5,196
tt0193318,3.1,753
tt0193364,4.6,8748
tt0193365,7.2,28
tt0193537,4.0,108
tt0193545,5.7,193
tt0193560,5.2,6119
tt0193598,6.4,22
tt0193854,6.2,2357
tt0193859,4.4,91
tt0194104,7.0,2929
tt0194143,4.9,759
tt0194218,6.7,8729
tt0194368,6.0,4138
tt0194410,4.2,430
tt0194519,6.8,372
tt0195108,7.3,8
tt0195234,6.9,18763
tt0195308,4.4,376
tt0195393,4.9,127
tt0195551,6.4,65
tt0195631,4.9,372
tt0195685,7.4,202148
tt0195714,6.7,260578
tt0195778,5.1,8707
tt0195857,5.1,151
tt0195860,5.4,54
tt0195944,4.2,146
tt0195945,6.1,41777
tt0196068,5.0,228
tt0196069,7.7,8064
tt0196106,4.1,2618
tt0196158,3.5,7539
tt0196216,6.7,39261
tt0196219,2.2,1247
tt0196223,5.3,1230
tt0196229,6.5,277015
tt0196708,6.2,2629
tt0196723,5.6,1402
tt0197072,3.8,640
tt0197096,6.8,2814
tt0197299,3.7,119
tt0197384,5.8,3446
tt0197633,4.8,683
tt0197644,4.4,165
tt0197646,4.8,285
tt0197750,3.9,2350
tt0197753,5.6,550
tt0197862,7.9,79
tt0197929,6.3,27
tt0197951,4.0,525
tt0197996,5.0,444
tt0198013,8.8,18
tt0198021,6.7,34889
tt0198284,4.5,848
tt0198386,5.6,6516
tt0198460,5.8,287
tt0198748,8.1,78
tt0198781,8.1,917012
tt0198893,4.0,175
tt0198903,5.2,255
tt0199007,4.3,403
tt0199129,6.3,272
tt0199290,4.6,3540
tt0199314,5.9,6635
tt0199481,2.7,5334
tt0199504,5.3,65
tt0199602,6.6,34
tt0199626,5.4,24931
tt0199650,3.9,1040
tt0199725,7.2,22454
tt0199727,6.4,5531
tt0199744,5.0,399
tt0199753,5.7,58533
tt0199898,4.7,287
tt0199974,4.8,1114
tt0200027,6.5,29507
tt0200171,6.1,206
tt0200192,5.4,5959
tt0200422,4.8,820
tt0200427,6.9,1745
tt0200465,7.2,183746
tt0200472,5.6,2350
tt0200483,5.3,57
tt0200525,6.3,26
tt0200530,6.6,5716
tt0200550,5.7,116791
tt0200669,5.9,4504
tt0200720,7.0,7695
tt0200940,3.1,348
tt0200954,3.7,943
tt0201020,6.4,203
tt0201275,7.6,57
tt0201394,5.1,1538
tt0201479,3.9,663
tt0201485,5.3,9145
tt0201670,6.0,414
tt0201694,2.5,1098
tt0201726,4.6,342
tt0201737,5.0,191
tt0201844,2.5,4314
tt0201888,7.0,721
tt0201899,6.8,1597
tt0201901,5.5,321
tt0201934,4.7,76
tt0202236,4.7,930
tt0202294,7.2,69
tt0202314,3.1,1305
tt0202360,5.7,59
tt0202402,5.5,11165
tt0202452,4.1,49
tt0202458,1.9,179
tt0202470,6.3,43939
tt0202487,7.7,24
tt0202560,7.1,23
tt0202623,5.4,4855
tt0202641,7.2,1695
tt0202677,6.6,34035
tt0202695,5.4,78
tt0202711,6.4,923
tt0202829,6.9,14
tt0202856,6.4,190
tt0202989,4.5,700
tt0203009,7.6,288416
tt0203019,7.2,119060
tt0203047,6.3,84
tt0203053,5.5,876
tt0203078,5.5,42
tt0203119,7.3,62680
tt0203144,6.6,17
tt0203166,7.4,23147
tt0203206,8.2,10
tt0203230,7.5,30411
tt0203289,6.6,1641
tt0203297,5.2,548
tt0203536,4.6,615
tt0203540,6.8,6213
tt0203580,3.7,281
tt0203584,6.3,249
tt0203632,7.4,14688
tt0203755,6.2,30803
tt0203830,4.7,309
tt0203835,3.1,878
tt0203912,5.3,95
tt0203940,3.9,3072
tt0203952,4.8,149
tt0203975,4.7,3360
tt0204131,8.1,27
tt0204137,6.6,14022
tt0204175,5.4,17108
tt0204250,2.1,697
tt0204293,7.2,8
tt0204313,5.1,37531
tt0204322,5.1,985
tt0204350,4.9,1354
tt0204352,6.7,94
tt0204382,7.3,32
tt0204619,4.7,79
tt0204626,5.3,27636
tt0204640,6.7,3323
tt0204679,7.4,17
tt0204698,7.4,42
tt0204700,5.9,8560
tt0204885,5.7,92
tt0204932,7.3,4071
tt0204933,4.6,159
tt0204946,6.1,98652
tt0205177,5.6,13928
tt0205271,4.7,19850
tt0205380,4.1,180
tt0205418,2.9,2841
tt0205461,4.1,4470
tt0205498,6.0,221
tt0205526,3.6,176
tt0205729,3.8,56
tt0205778,6.6,81
tt0205873,7.2,16602
tt0205936,5.2,243
tt0206075,3.4,590
tt0206088,6.2,342
tt0206098,6.9,67
tt0206113,6.3,1476
tt0206184,5.0,301
tt0206187,6.8,831
tt0206211,7.6,10
tt0206223,4.2,144
tt0206226,6.1,6251
tt0206275,6.2,63463
tt0206314,6.6,71327
tt0206367,5.0,1203
tt0206420,5.3,10687
tt0206545,7.3,61
tt0206608,6.2,189
tt0206634,7.9,505323
tt0206694,6.7,48
tt0206742,6.4,2117
tt0206762,6.2,1479
tt0206778,6.5,68
tt0206917,6.1,15891
tt0206926,5.6,5973
tt0206963,7.2,5725
tt0207036,5.1,668
tt0207161,5.7,1441
tt0207163,6.3,488
tt0207198,6.8,3695
tt0207201,6.4,211192
tt0207333,5.1,874
tt0207337,4.6,29
tt0207377,4.6,893
tt0207501,4.4,47
tt0207524,6.8,3586
tt0207585,5.9,731
tt0207631,4.4,680
tt0207635,6.5,61
tt0207638,5.6,132
tt0207745,4.6,254
tt0207988,6.0,413
tt0208003,5.2,87159
tt0208017,8.0,44
tt0208037,4.7,424
tt0208050,5.6,397
tt0208092,8.2,862620
tt0208196,7.2,9977
tt0208204,4.7,123
tt0208298,7.1,1633
tt0208412,6.9,33
tt0208491,4.6,763
tt0208870,4.1,144
tt0208874,6.9,24428
tt0208883,6.1,100
tt0208889,6.9,73
tt0208899,5.5,179
tt0208910,8.0,23
tt0208911,6.3,1958
tt0208942,4.4,179
tt0208988,5.1,35196
tt0208990,7.3,20602
tt0208993,7.0,1457
tt0209020,4.4,76
tt0209037,6.9,3279
tt0209077,5.8,30133
tt0209109,4.9,687
tt0209144,8.4,1246494
tt0209163,6.4,330202
tt0209180,8.1,4725
tt0209253,4.2,77
tt0209279,5.4,177
tt0209322,6.3,3486
tt0209475,5.3,82545
tt0209486,4.9,465
tt0209941,6.2,89
tt0209958,6.4,104387
tt0210065,6.7,14157
tt0210070,6.8,48684
tt0210075,6.7,11140
tt0210094,5.4,2788
tt0210130,7.8,68
tt0210149,6.1,714
tt0210223,4.8,225
tt0210299,7.2,3569
tt0210357,6.6,257
tt0210358,6.5,7155
tt0210362,5.9,281
tt0210382,5.8,9728
tt0210470,6.7,67
tt0210567,5.6,4147
tt0210584,6.2,2428
tt0210616,6.6,21984
tt0210694,7.3,37
tt0210756,6.0,431
tt0210776,6.0,40
tt0210777,7.9,215
tt0210816,5.0,190
tt0210930,5.3,240
tt0210945,7.8,218961
tt0210952,5.8,96
tt0210953,5.4,339
tt0211181,4.8,38179
tt0211266,8.4,14
tt0211279,7.5,20
tt0211296,7.0,32
tt0211309,6.5,481
tt0211373,9.0,11
tt0211387,6.7,6637
tt0211423,7.1,21
tt0211443,4.4,57927
tt0211465,6.1,24154
tt0211492,6.8,4542
tt0211636,7.1,43
tt0211645,8.3,51
tt0211661,6.0,1822
tt0211718,7.3,2907
tt0211915,8.3,761485
tt0211919,6.2,164
tt0211933,6.5,76740
tt0211938,5.7,12769
tt0211941,5.5,1571
tt0211946,7.2,14795
tt0212048,4.4,319
tt0212059,5.0,173
tt0212132,7.4,3097
tt0212142,7.6,111
tt0212215,6.1,260
tt0212271,4.2,233
tt0212292,6.8,226
tt0212294,6.0,139
tt0212298,7.0,106
tt0212338,7.0,339862
tt0212346,6.3,214879
tt0212360,6.4,77
tt0212380,6.2,8722
tt0212495,5.0,274
tt0212604,7.3,1946
tt0212667,3.4,181
tt0212712,7.4,58781
tt0212719,6.1,124
tt0212720,7.2,311396
tt0212742,5.3,1766
tt0212815,7.3,4676
tt0212826,7.0,5789
tt0212830,5.3,6160
tt0212867,4.9,1258
tt0212873,7.8,103
tt0212879,6.0,5849
tt0212881,3.9,106
tt0212910,5.7,1293
tt0212974,6.6,4417
tt0212985,6.8,278919
tt0213113,3.8,77
tt0213127,6.2,67
tt0213149,6.2,336862
tt0213203,6.1,12938
tt0213205,6.0,127
tt0213266,7.5,37
tt0213446,5.0,476
tt0213561,6.3,453
tt0213642,3.3,515
tt0213690,3.5,299
tt0213790,5.2,13419
tt0213802,3.2,1909
tt0213847,7.4,104904
tt0213890,7.0,30849
tt0213985,6.9,2615
tt0214032,5.9,59
tt0214106,4.3,145
tt0214140,8.1,36
tt0214277,6.2,279
tt0214388,5.8,23122
tt0214520,5.7,83
tt0214529,4.4,5011
tt0214548,5.9,69
tt0214619,5.6,134
tt0214638,3.5,330
tt0214646,6.0,156
tt0214728,5.9,679
tt0214757,4.4,496
tt0214871,3.6,1608
tt0214878,6.1,1683
tt0215129,6.5,171770
tt0215135,4.4,3559
tt0215139,6.0,486
tt0215223,5.7,46
tt0215232,4.9,243
tt0215458,5.4,123
tt0215516,6.2,1624
tt0215519,5.6,123
tt0215545,6.6,11813
tt0215679,6.2,497
tt0215681,6.6,4223
tt0215719,7.9,48
tt0215727,4.5,132
tt0215750,7.6,265977
tt0215841,6.4,224
tt0215941,3.6,136
tt0216105,6.4,112
tt0216196,4.2,771
tt0216216,5.9,124086
tt0216250,6.2,55
tt0216256,6.3,90
tt0216279,6.0,536
tt0216290,6.9,37
tt0216417,5.7,2210
tt0216522,5.1,237
tt0216578,6.8,1273
tt0216584,5.5,3975
tt0216587,3.2,89
tt0216620,4.4,2370
tt0216625,7.1,14252
tt0216651,7.6,32882
tt0216669,6.3,100
tt0216689,6.6,1274
tt0216731,7.0,496
tt0216746,3.7,1895
tt0216772,4.1,1315
tt0216787,7.2,10011
tt0216799,7.1,6515
tt0216800,7.1,11611
tt0216837,8.4,24
tt0216841,4.1,1051
tt0216890,4.8,495
tt0216930,4.7,1772
tt0216982,6.3,661
tt0216990,6.7,450
tt0217019,6.1,1769
tt0217031,4.8,394
tt0217086,4.6,1455
tt0217107,3.8,707
tt0217119,6.9,1664
tt0217135,6.0,333
tt0217287,3.6,294
tt0217319,5.2,472
tt0217331,5.0,2960
tt0217355,5.7,4016
tt0217505,7.5,447850
tt0217570,4.2,247
tt0217621,4.7,433
tt0217630,5.3,29477
tt0217654,3.5,814
tt0217664,7.5,40
tt0217686,6.6,100
tt0217721,7.2,19
tt0217756,5.3,14672
tt0217758,5.2,628
tt0217780,3.0,140
tt0217787,5.5,203
tt0217788,5.3,180
tt0217802,4.3,228
tt0217824,6.2,1732
tt0217869,7.3,422526
tt0217978,5.7,1541
tt0217979,3.4,691
tt0218000,6.2,656
tt0218032,5.3,195
tt0218053,3.1,231
tt0218067,4.3,2042
tt0218080,3.3,1255
tt0218107,5.6,1147
tt0218112,6.2,1506
tt0218126,3.6,455
tt0218138,4.6,837
tt0218140,8.8,36
tt0218141,5.9,1768
tt0218182,6.2,1701
tt0218183,6.6,15
tt0218298,5.7,611
tt0218323,5.6,345
tt0218378,6.3,6447
tt0218379,6.2,1741
tt0218390,5.9,198
tt0218426,5.4,152
tt0218475,6.6,80
tt0218533,6.7,2475
tt0218561,5.6,85
tt0218581,5.0,2617
tt0218616,6.6,1300
tt0218619,3.9,9191
tt0218625,3.9,1663
tt0218641,3.2,807
tt0218741,5.8,137
tt0218800,5.7,260
tt0218817,6.1,29660
tt0218839,7.4,63530
tt0218864,5.8,7250
tt0218922,6.0,57605
tt0218967,6.8,113126
tt0218978,5.6,104
tt0219171,6.0,2604
tt0219179,7.2,9
tt0219210,5.4,176
tt0219214,3.8,184
tt0219223,4.9,53
tt0219249,7.8,42
tt0219272,5.2,226
tt0219288,7.5,3097
tt0219327,5.7,552
tt0219333,5.7,841
tt0219336,5.5,101
tt0219338,4.9,47
tt0219374,6.7,3996
tt0219400,5.4,6090
tt0219408,5.7,443
tt0219469,5.7,451
tt0219519,6.3,1607
tt0219636,6.2,482
tt0219640,4.1,399
tt0219643,5.4,42
tt0219653,4.9,34750
tt0219687,7.9,58
tt0219699,6.7,70777
tt0219756,5.6,101
tt0219822,6.4,18518
tt0219854,6.1,42869
tt0219952,5.1,10642
tt0219957,4.9,308
tt0219965,6.5,69005
tt0220005,5.8,90
tt0220034,6.5,301
tt0220099,6.3,19375
tt0220100,6.1,6907
tt0220122,6.5,31
tt0220157,6.5,1320
tt0220322,7.3,29
tt0220331,5.3,26
tt0220332,6.3,50
tt0220343,5.4,1412
tt0220371,5.3,37
tt0220399,5.6,90
tt0220506,3.9,46178
tt0220514,3.8,360
tt0220580,6.8,13332
tt0220605,6.9,23
tt0220607,5.7,9
tt0220627,6.8,6646
tt0220631,6.9,1516
tt0220651,6.7,324
tt0220652,5.3,604
tt0220827,6.2,7138
tt0220864,4.1,166
tt0221013,6.6,1064
tt0221023,7.9,1038
tt0221027,7.5,263844
tt0221069,6.2,3540
tt0221073,7.1,39775
tt0221074,6.4,844
tt0221197,4.4,409
tt0221218,5.8,38265
tt0221297,4.4,292
tt0221431,4.8,467
tt0221463,3.9,147
tt0221559,6.9,4447
tt0221563,6.0,1210
tt0221637,5.9,97
tt0221799,6.7,4446
