imdb_id,company_id
tt0381971,36827
tt0381971,16878
tt0382625,16878
tt0382625,32048
tt0382765,28463
tt0382765,2436
tt0382765,28960
tt0382765,3563
tt0382765,3160
tt0382765,24576
tt0383060,29406
tt0383060,34564
tt0383060,5339
tt0383060,7998
tt0383060,32472
tt0383216,22824
tt0383216,7998
tt0383216,29652
tt0383574,37896
tt0383574,18043
tt0383574,31010
tt0384537,36094
tt0384537,31731
tt0384537,9299
tt0384537,19154
tt0384793,36827
tt0384793,31323
tt0384814,26429
tt0384814,8663
tt0384814,2874
tt0384814,6374
tt0384814,24863
tt0385726,37896
tt0385880,16843
tt0385880,1935
tt0386741,25645
tt0386741,3620
tt0386741,6068
tt0386741,23193
tt0386741,13433
tt0386757,11222
tt0386757,26246
tt0386757,28189
tt0387808,167
tt0387808,34747
tt0387877,35094
tt0387877,36827
tt0387877,31712
tt0387877,11375
tt0387877,9299
tt0387877,23031
tt0387877,25117
tt0389557,33439
tt0389557,23645
tt0389557,23668
tt0389557,10853
tt0389557,24345
tt0389557,39644
tt0389557,19946
tt0389557,13670
tt0389557,15755
tt0389557,22554
tt0389557,11521
tt0389557,37054
tt0389557,8213
tt0389557,7769
tt0389557,7812
tt0389557,11774
tt0389557,22610
tt0389557,32474
tt0389860,25786
tt0389860,29406
tt0389860,7998
tt0389860,15554
tt0390245,32362
tt0391488,11044
tt0391488,34092
tt0391788,36789
tt0391788,7343
tt0391788,17637
tt0392883,11099
tt0392883,23467
tt0392883,34092
tt0392883,12567
tt0392883,9719
tt0392883,34177
tt0392883,11510
tt0392883,15881
tt0392883,26240
tt0392883,38633
tt0392883,6068
tt0392883,13433
tt0392883,21310
tt0392883,26274
tt0393567,4651
tt0393567,38628
tt0393735,37896
tt0393735,21969
tt0393735,5339
tt0395119,11479
tt0395119,24062
tt0395119,25779
tt0395119,167
tt0395495,29241
tt0395495,7998
tt0396042,733
tt0396171,29561
tt0396171,37059
tt0396171,25073
tt0396171,6567
tt0396171,9299
tt0396171,16773
tt0396171,8189
tt0397078,24562
tt0397078,29195
tt0397078,6944
tt0397105,4990
tt0397313,37896
tt0397313,32799
tt0397313,21969
tt0397313,38514
tt0397313,37306
tt0397313,35073
tt0398839,24278
tt0398839,24279
tt0398842,6674
tt0398842,3896
tt0398842,2230
tt0398842,18928
tt0398913,9827
tt0398913,16923
tt0398913,23080
tt0398913,34562
tt0398913,37054
tt0398913,34582
tt0398913,4325
tt0398913,8189
tt0399110,22334
tt0400717,32473
tt0400717,7998
tt0400944,1920
tt0401445,13369
tt0401445,30870
tt0401711,12557
tt0401711,27185
tt0401711,37373
tt0401855,30910
tt0401855,19697
tt0402438,15657
tt0402438,23037
tt0402438,9017
tt0402438,13435
tt0402438,6303
tt0402438,34175
tt0402438,6068
tt0402438,11510
tt0402743,28964
tt0403279,35838
tt0403279,17316
tt0403279,29498
tt0403407,32677
tt0403407,31137
tt0403407,29668
tt0403946,14934
tt0403946,30007
tt0404163,38894
tt0404163,35478
tt0404163,18257
tt0404163,2395
tt0404163,2394
tt0404163,2386
tt0404163,5117
tt0404203,24535
tt0404203,32920
tt0404203,5192
tt0404390,36254
tt0404390,17435
tt0404390,27079
tt0404390,39204
tt0404390,24535
tt0404390,22502
tt0404390,37051
tt0404390,37052
tt0404390,21299
tt0405052,3967
tt0405052,9470
tt0405052,15524
tt0405094,8487
tt0405094,38356
tt0405094,941
tt0405094,32474
tt0405296,37973
tt0405296,35438
tt0405296,9631
tt0405296,31046
tt0405296,269
tt0405336,38371
tt0405336,36827
tt0405336,6929
tt0405336,9233
tt0405336,21359
tt0405336,10799
tt0405336,26852
tt0405336,1130
tt0405336,9613
tt0405336,17186
tt0405469,37896
tt0405469,5938
