imdb_id,collection_id
tt13026738,231
tt13070038,58
tt13345606,470
tt13393058,498
tt13560574,1868
tt13634480,691
tt13822738,1067
tt14121726,732
tt14577304,518
tt14813966,894
tt15078854,170
tt15458866,1817
tt15838850,1625
tt15850452,769
tt16085592,1414
tt16194408,1456
tt16254308,1929
tt16760592,292
tt1745960,1742
tt17491040,1632
tt1877830,1455
tt4123432,481
tt5113044,955
tt7657566,651
tt8041270,755
tt9419884,414
tt9848626,673
tt0367882,704
tt0371746,716
tt0373051,745
tt0374569,286
tt0410377,1042
tt0411272,1603
tt0411477,643
tt0421073,1371
tt0425637,1195
tt0441773,807
tt0443701,1711
tt0447166,1542
tt0450314,1640
tt0452608,379
tt0456978,511
tt0462499,1185
tt0463872,136
tt0468569,1501
tt0479952,892
tt0481536,624
tt0482603,1334
tt0482606,1669
tt0490210,1253
tt0499448,1485
tt0785035,1076
tt0790686,958
tt0795421,906
tt0808339,830
tt0808399,302
tt0822832,922
tt0830515,726
tt0846308,96
tt0859163,1613
tt0870101,1466
tt0881310,1156
tt0883410,1051
tt0885415,1041
tt0892255,286
tt0892899,1089
tt0912597,378
tt0923683,1759
tt0936501,1410
tt0950739,128
tt0962726,656
tt0972558,355
tt0985047,107
tt0991346,201
tt0993789,1629
tt1000774,1271
tt1014775,197
tt1017456,1180
tt1018785,1662
tt1018789,448
tt1023111,1028
tt1023481,1362
tt1038072,1164
tt1045655,969
tt1047494,894
tt1050160,889
tt1051981,112
tt1055300,1096
tt1078600,567
tt1082868,1174
tt1086797,1794
tt1087522,420
tt1087906,1692
tt1090671,1198
tt1092005,584
tt1099212,1689
tt1099228,105
tt1103262,370
tt1114723,730
tt1116935,1295
tt1126596,783
tt1129442,1682
tt1130987,1515
tt1132626,1255
tt1145144,282
tt1155652,1543
tt1155696,391
tt1155705,15
tt1157614,1464
tt1160524,1020
tt1160525,1140
tt1160629,541
tt1161405,241
tt1161646,1545
tt1161951,86
tt1167825,1421
tt1174954,1202
tt1176142,1903
tt1176726,309
tt1179067,1461
tt1180304,419
tt1185420,421
tt1188990,313
tt1189383,925
tt1190127,809
tt1192613,1075
tt1196128,1266
tt1198186,1816
tt1199494,1594
tt1204883,1471
tt1204979,1802
tt1206326,1074
tt1206478,1161
tt1210117,697
tt1216300,728
tt1217565,813
tt1220719,712
tt1230165,1221
tt1233474,1543
tt1233505,1311
tt1238298,1515
tt1243381,43
tt1259014,1603
tt1260396,554
tt1260502,559
tt1266539,108
tt1278060,1543
tt1284591,1713
tt1288461,1429
tt1292575,1123
tt1297939,1621
tt1301698,11
tt1308650,574
tt1323946,1164
tt1330607,694
tt1332059,931
tt1339302,218
tt1343089,1543
tt1354553,1537
tt1371126,1718
tt1424066,130
tt1438522,376
tt1937316,73
tt1979309,1825
tt2127268,380
tt2882912,238
tt2955538,87
tt3087662,1561
tt0837156,1107
tt10889420,1034
tt1211837,414
tt12945368,1880
tt1386697,1378
tt1431045,372
tt1473832,240
tt1540011,217
tt1608290,1894
tt1628841,702
tt1679335,1687
tt1798603,162
tt1920885,1923
tt1985949,1448
tt1989632,1392
tt2137241,1221
tt2140479,1440
tt2267968,807
tt2277860,505
tt2360586,1102
tt2364673,374
tt2381991,1567
tt2411144,823
tt2441982,1697
tt2567026,71
tt2592614,1201
tt2652118,340
tt2660888,1354
tt2709768,1656
tt2822672,1220
tt2836166,1233
tt2869728,1210
tt2975590,908
tt3062096,1650
tt3065204,1491
tt3082898,782
tt3110958,1053
tt3138698,794
tt3183660,481
tt3212812,1001
tt3248148,1549
tt3300542,626
tt3385516,1869
tt3393786,721
tt3410834,412
tt3416828,691
tt3451230,657
tt3470600,1307
tt3498820,266
tt3522806,938
tt3527772,804
tt3567194,1196
tt3577684,328
tt3606888,227
tt3627704,1121
tt3628584,171
tt3717252,1788
tt3719434,93
tt3746824,1283
tt3760922,995
tt3823672,46
tt3838992,1765
tt3842614,1572
tt3882082,1476
tt3892618,1508
tt3894558,93
tt3949660,1425
tt4022428,786
tt4061908,1581
tt4062756,1331
tt4065842,1840
tt4080594,1002
tt4088268,387
tt4094724,1641
tt4110400,1889
tt4146622,1186
tt4191580,939
tt4196776,1474
tt4219652,88
tt4273562,1883
tt4281724,1432
tt4361050,1088
tt4418398,1062
tt4438848,1025
tt4451458,739
tt4471630,25
tt4471634,25
tt4490348,595
tt4519312,60
tt4559046,675
tt4579914,1046
tt4591310,1609
tt4627224,1576
tt4628826,166
tt4641264,135
tt4641286,1306
tt4641730,1209
tt4641776,1231
tt4643142,1306
tt4651520,161
tt4667854,1800
tt4675030,927
tt4683366,555
tt4685554,1319
tt4699434,1315
tt4741412,1797
tt4741686,744
tt4756770,1856
tt4760268,1856
tt4763168,789
tt4766112,920
tt4768656,678
tt4785440,293
tt4786282,855
tt4788722,997
tt4790076,1856
tt4802214,293
tt4809638,1776
tt4819576,815
tt4824308,576
tt4827290,96
tt4840554,1060
tt4847546,219
tt4862468,29
tt4864932,153
tt4911996,1008
tt4926538,1688
tt4926822,1842
tt4933472,469
tt4933506,788
tt4936176,324
tt4940370,1437
tt4945528,183
tt4954660,391
tt4959548,1648
tt4960242,504
tt4960934,606
tt4963830,114
tt4979860,264
tt4980812,1133
tt4994718,801
tt5001436,1216
tt5011290,1321
tt5029602,239
tt5030004,1204
tt5048716,254
tt5058340,378
tt5066818,1200
tt5068090,1247
tt5084196,794
tt5112622,315
tt5115024,725
tt5126792,1703
tt5127398,1131
tt5145840,223
tt5151594,360
tt5156746,516
tt5156910,1624
tt5174974,619
tt5179576,1463
tt5185564,1660
tt5193784,783
tt5197068,1415
tt5216534,406
tt5218346,405
tt5234458,65
tt5234462,65
tt5237980,531
tt5251328,1074
tt5253630,550
tt5254868,1677
tt5258066,1684
tt5259966,1047
tt5271120,1484
tt5278506,1725
tt5282024,877
tt5300090,877
tt5307266,765
tt5309954,1211
tt5325452,894
tt5327922,1009
tt5328802,1607
tt5336230,959
tt5338588,27
tt5340882,1895
tt5347472,1901
tt5363648,510
tt5377604,1127
tt5425264,428
tt5430020,813
tt5443474,814
tt5456798,1009
tt5463088,1031
tt5468014,406
tt5471154,232
tt5472758,620
tt5474114,1544
tt5474644,1000
tt5477608,762
tt5481184,836
tt5481404,366
tt5481608,281
tt5481984,150
tt5487734,1403
tt5492906,648
tt5523174,1124
tt5542208,617
tt5544700,419
tt5563932,1718
tt5565670,124
tt5576334,1384
tt5591458,831
tt5638500,11
tt5639388,1179
tt5641606,325
tt5647758,1438
tt5659164,658
tt5659172,658
tt5687416,55
tt5688888,1330
tt5700672,1752
tt5706294,1799
tt5741902,953
tt5798738,587
tt5813916,982
tt5822856,479
tt5822910,713
tt5833730,1098
tt5843670,1350
tt5853124,31
tt5864680,962
tt5871184,966
tt5874502,609
tt5876604,600
tt5889204,1141
tt5889338,321
tt5896962,860
tt5898034,972
tt5920384,311
tt5923040,658
tt5923962,546
tt5973626,176
tt5978822,1699
tt5998744,1368
tt6011480,1514
tt6029122,1301
tt6034454,271
tt6035470,965
tt6048582,1527
tt6101516,1820
tt6158988,580
tt6160932,290
tt6212346,1127
tt6266984,553
tt6296148,966
tt6301140,262
tt6327570,321
tt6449216,810
tt6449358,669
tt6449704,1914
tt6467214,1884
tt7308238,998
tt7505148,587
tt7784920,165
tt7785870,34
tt0167190,643
tt0204313,1522
tt0270846,155
tt0289879,1479
tt0290002,941
tt0296572,1486
tt0297741,125
tt0298148,1293
tt0304141,625
tt0315273,1459
tt0316654,1341
tt0317198,240
tt0317705,1571
tt0318627,1201
tt0327247,1702
tt0330793,1640
tt0331632,1258
tt0337103,1496
tt0337579,171
tt0337697,1634
tt0338096,410
tt0338526,1809
tt0345235,1871
tt0345950,1346
tt0347246,559
tt0347591,1606
tt0349903,1059
tt0350061,1213
tt0351977,1829
tt0353489,561
tt0355836,1051
tt0356470,301
tt0356634,547
tt0357413,102
tt0357585,381
tt0358349,61
tt0359013,215
tt0364079,1756
tt0364751,1857
tt0365265,561
tt0365770,1322
tt0365957,1878
tt0366174,98
tt0366551,624
tt0368891,1022
tt0368933,1635
tt0370263,47
tt0372183,1474
tt0372594,1811
tt0372884,444
tt0377092,935
tt0377713,343
tt0378194,784
tt0380538,787
tt0381487,734
tt0381681,186
tt0382295,1269
tt0384116,540
tt0386005,1143
tt0386327,203
tt0387564,1255
tt0387575,295
tt0388098,513
tt0388230,903
tt0388556,1885
tt0390320,1064
tt0390521,1387
tt0391198,1551
tt0396184,1169
tt0398373,1690
tt0398378,1807
tt0399102,577
tt0399877,1841
tt0401233,119
tt0402014,50
tt0403358,1864
tt0403703,1883
tt0404090,608
tt0404225,930
tt0405061,1524
tt0405507,991
tt0406977,927
tt0408281,1768
tt0410370,1908
tt0410454,1710
tt0411263,1938
tt0414852,411
tt0415481,1720
tt0416465,1444
tt0418259,68
tt0419954,934
tt0422091,400
tt0424472,1392
tt0426275,1782
tt0430772,791
tt0435202,967
tt0435286,1136
tt0440803,1912
tt0442286,1248
tt0443073,1112
tt0444759,130
tt0446320,1519
tt0449927,1367
tt0450996,1470
tt0451218,1375
tt0459427,778
tt0459429,778
tt0459430,778
tt0468862,1311
tt0470132,780
tt0470536,1591
tt0475147,1591
tt0476680,1020
tt0780179,655
tt0803019,780
tt1010435,1074
tt1133559,391
tt1147516,419
tt1390932,520
tt0093119,596
tt10039354,832
tt10068916,893
tt10127410,1365
tt10148118,188
tt10251538,1427
tt10309906,1296
tt10328320,1484
tt10362466,58
tt10408944,1225
tt10423160,760
tt10473312,1644
tt10482504,1686
tt10492998,68
tt10516176,1361
tt10588750,419
tt10600398,1279
tt10658922,820
tt10675392,1774
tt10709742,304
tt10735778,848
tt10773114,1012
tt10776270,932
tt10778840,163
tt10803866,3
tt10845704,910
tt1086064,208
tt10886166,22
tt10887344,1167
tt10922066,692
tt10933680,1505
tt11024272,1453
tt11032374,384
tt11032990,904
tt11044354,496
tt11057644,1483
tt11082246,1740
tt11127878,408
tt11154906,1381
tt11172926,871
tt11177804,1923
tt11199410,1636
tt11237714,1766
tt11240506,1048
tt11306746,800
tt11316854,542
tt11323964,1530
tt11433900,603
tt11469660,1297
tt11478014,1386
tt11490170,607
tt11506284,1095
tt11547496,262
tt11553304,1467
tt11640412,0
tt11654032,232
tt11661666,1105
tt11697832,347
tt11717852,552
tt11734696,1400
tt11736000,101
tt11738338,597
tt11765324,1528
tt11777298,347
tt11779616,1288
tt11812338,664
tt11819890,1137
tt11867144,519
tt11946300,382
tt12014644,38
tt12015668,1408
tt12093878,816
tt12156580,1592
tt12158538,1133
tt12256440,347
tt12282598,870
tt12306926,347
tt12311866,294
tt12313622,347
tt12363162,1924
tt12369756,149
tt12398350,1671
tt12415546,142
tt12416790,1891
tt12517908,74
tt12520430,699
tt12575636,1493
tt12615474,1078
tt12659886,1611
tt12745164,279
tt12850062,331
tt12868184,192
tt12938038,1199
tt12975140,158
tt12981586,149
tt12981810,503
tt13033280,1335
tt13055780,28
tt13081264,1012
tt13107908,1106
tt13113544,1033
tt13143964,233
tt13198946,698
tt13212006,1651
tt13212270,1932
tt13260836,106
tt13361756,172
tt13375600,1935
tt13375624,868
tt13428402,1353
tt13437988,280
tt13535454,542
tt13535456,542
tt13562408,262
tt13811736,1720
tt13833830,1207
tt13905906,699
tt14277322,1467
tt14821640,1843
tt14882302,384
tt14888874,384
tt1502397,159
tt1634106,222
tt1817232,1122
tt1965308,1886
tt2850386,1498
tt3152592,1257
tt3794354,1326
tt4685762,1494
tt4823776,1346
tt4858674,1357
tt4907206,1771
tt5843300,184
tt6527456,255
tt6587640,1687
tt7126948,1862
tt7304824,181
tt7535290,1352
tt7556122,1622
tt7737786,593
tt7846844,462
tt7886848,1239
tt7978672,214
tt7983744,1223
tt8060328,146
tt8092118,486
tt8332922,40
tt8366590,153
tt8615822,1058
tt8820348,1393
tt8850222,1752
tt8924580,686
tt8936646,473
tt8948132,365
tt8972556,683
tt9170580,133
tt9173418,1476
tt9191844,490
tt9204164,207
tt9354842,1733
tt9387250,1314
tt9434836,1052
tt9506474,1377
tt9507234,407
tt9564270,227
tt9580138,980
tt9597838,1289
tt9648672,44
tt9763792,1836
tt9784456,1580
tt9839038,736
tt9887580,249
tt0119273,641
tt0120630,291
tt0120755,963
tt0120903,1869
tt0120917,1517
tt0132910,1500
tt0134084,1259
tt0134847,1486
tt0139500,1536
tt0144084,94
tt0144528,1620
tt0144964,659
tt0158622,1534
tt0160009,1450
tt0160127,283
tt0162650,1274
tt0164052,662
tt0175142,1256
tt0179183,518
tt0183869,1419
tt0184894,1277
tt0187696,100
tt0190138,1702
tt0190332,340
tt0190374,439
tt0190524,838
tt0191996,466
tt0192614,1663
tt0192731,1796
tt0195714,501
tt0195945,527
tt0196106,886
tt0197951,1727
tt0202236,118
tt0203940,1343
tt0204946,243
tt0205461,1718
tt0208003,206
tt0209958,1481
tt0210070,561
tt0210616,282
tt0211181,6
tt0212338,941
tt0212346,960
tt0212879,1681
tt0213203,1227
tt0214388,4
tt0215129,1215
tt0216417,1706
tt0216651,1806
tt0216841,734
tt0217086,398
tt0217107,1762
tt0219214,1477
tt0219653,424
tt0220099,1633
tt0222717,1658
tt0223911,1658
tt0224086,1658
tt0227200,1081
tt0228786,1496
tt0228982,1780
tt0229260,217
tt0232465,1154
tt0233277,1655
tt0233289,1454
tt0233600,1182
tt0235679,1135
tt0235712,1211
tt0236502,957
tt0238883,247
tt0239450,117
tt0242024,1422
tt0242519,649
tt0243196,329
tt0251094,551
tt0252985,68
tt0253486,1658
tt0253842,1764
tt0255198,577
tt0256378,1658
tt0258489,791
tt0259974,407
tt0262221,1658
tt0264079,1407
tt0264581,1658
tt0265101,237
tt0265739,1879
tt0266308,178
tt0266821,1085
tt0271029,1304
tt0275538,575
tt0278666,1187
tt0284880,169
tt0285005,369
tt0297071,1546
tt0301083,269
tt0311792,1016
tt0325181,1492
tt0330501,748
tt0338679,1926
tt0345885,1928
tt0348087,1345
tt0356741,707
tt0814243,1074
tt1068773,391
tt1147513,419
tt1291055,407
tt2180441,331
tt6174238,315
tt6352606,1142
tt0790724,721
tt0837562,673
tt0848228,1451
tt0860907,1192
tt0903624,1559
tt0938330,1303
tt0948470,1445
tt1034314,717
tt1074638,726
tt1185838,443
tt1194173,1474
tt1217213,1731
tt1232829,752
tt1258972,1596
tt1276962,309
tt1277953,892
tt1291547,59
tt1345836,1501
tt1392170,1565
tt1397280,1410
tt1397514,745
tt1403214,1100
tt1409024,947
tt1418712,1089
tt1424310,127
tt1446714,1160
tt1496025,1788
tt1588342,442
tt1596365,1708
tt1597522,136
tt1602472,13
tt1605630,92
tt1621045,1717
tt1625350,1811
tt1637725,1423
tt1646987,303
tt1648964,1102
tt1649444,1898
tt1651323,1808
tt1659343,1792
tt1667889,691
tt1673434,1689
tt1681372,259
tt1706593,300
tt1712170,69
tt1714203,1125
tt1718903,1372
tt1720189,1102
tt1724962,1090
tt1735898,1567
tt1748227,1488
tt1753496,1202
tt1756415,190
tt1758830,799
tt1764625,1443
tt1764651,1523
tt1772341,1865
tt1786650,1209
tt1794886,110
tt1797504,1722
tt1800741,1362
tt1821480,762
tt1823067,85
tt1826660,1329
tt1831806,1553
tt1832447,786
tt1844025,1211
tt1855325,1201
tt1856014,615
tt1856047,615
tt1856053,1041
tt1857797,1014
tt1861343,634
tt1865573,160
tt1866931,1837
tt1867101,1716
tt1879012,1039
tt1881045,1234
tt1915581,896
tt1919184,1811
tt1922777,1310
tt1928330,157
tt1933618,1003
tt1934269,1877
tt1935896,1438
tt1937133,1067
tt1954464,480
tt1954470,545
tt1969175,96
tt1978567,1645
tt1979319,1229
tt1980986,675
tt1981080,1406
tt1981677,1128
tt1985017,140
tt1990218,460
tt2002626,1837
tt2005156,183
tt2011961,434
tt2013299,1799
tt2016894,1728
tt2023453,403
tt2036408,911
tt2040560,1626
tt2051818,78
tt2051886,544
tt2058710,1598
tt2062698,115
tt2064704,2
tt2071471,1224
tt2071491,756
tt2073137,1811
tt2078523,346
tt2078667,851
tt2081266,1736
tt2082415,1243
tt2085795,477
tt2085930,1359
tt2088832,1442
tt2089750,1023
tt2099643,1386
tt2105044,1800
tt2106675,1675
tt2106741,1696
tt2108651,1332
tt2109184,1101
tt2109245,1781
tt2112131,348
tt2112143,456
tt2121377,1844
tt2124014,180
tt2131586,391
tt2140315,1179
tt2147134,1693
tt2151579,1393
tt2152198,1115
tt2166143,1358
tt2168854,919
tt2172910,778
tt2177509,270
tt2177575,618
tt2182237,1812
tt2186562,405
tt2186715,315
tt2192888,1383
tt2194724,1163
tt2196724,1906
tt2202750,583
tt2204340,1539
tt2204371,1325
tt2204379,1508
tt2205948,1163
tt2209792,1518
tt2210479,194
tt2210823,954
tt2215285,894
tt2226437,730
tt2226666,737
tt2231554,591
tt2234275,964
tt2234530,238
tt2238839,880
tt2243393,1630
tt2243621,1319
tt2248068,1510
tt2253038,828
tt2256858,788
tt2258239,27
tt2271315,419
tt2271565,1917
tt2275080,934
tt2281095,88
tt2281223,1715
tt2281225,1715
tt2284790,1853
tt2288005,1244
tt2290648,715
tt2290828,1020
tt2292965,447
tt2294473,846
tt2296404,1406
tt2296709,364
tt2298338,1685
tt2301882,1744
tt2301900,1167
tt2304662,182
tt2306783,1527
tt2306814,77
tt2306836,1405
