tconst,primaryTitle,startYear,runtimeMinutes,imdb_id,id,budget,revenue,certification,original_title,poster_path,tagline,original_language,release_date,popularity,vote_average,vote_count,Genre_Action,Genre_Adult,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,profit,ROI
tt1335975,47 Ronin,2013.0,128,tt1335975,64686,175000000.0,150962000.0,PG-13,47 Ronin,/xDHnmcroujCRG0ysYQaiswjbyHd.jpg,For courage. For loyalty. For honor.,en,2013-12-06,17.126,6.1,3176,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-24038000.0,-0.13736
tt1232829,21 Jump Street,2012.0,109,tt1232829,64688,42000000.0,201585000.0,R,21 Jump Street,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,They thought the streets were mean. Then they went back to high school.,en,2012-03-14,44.425,6.9,8864,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159585000.0,3.799642857142857
tt1764234,Killing Them Softly,2012.0,97,tt1764234,64689,15000000.0,37930500.0,R,Killing Them Softly,/heaz45kpFa4Oa7iLis0OBas68ls.jpg,In America you're on your own.,en,2012-07-30,8.518,6.0,1701,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22930500.0,1.5287
tt0780504,Drive,2011.0,100,tt0780504,64690,15000000.0,78054800.0,R,Drive,/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,There are no clean getaways.,en,2011-09-15,50.256,7.6,10352,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63054800.0,4.2036533333333335
tt1675192,Take Shelter,2011.0,121,tt1675192,64720,5000000.0,3099310.0,R,Take Shelter,/zLZQv7cN8ckBEa7HvjYkm2wx7F9.jpg,Far away from the cruel world.,en,2011-09-30,7.72,7.1,1362,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1900690.0,-0.380138
tt1661382,Grudge Match,2013.0,113,tt1661382,64807,40000000.0,44907300.0,PG-13,Grudge Match,/jTq9jYTKKo6EhQPso4xTMpPYYXW.jpg,Stallone vs DeNiro,en,2013-12-25,20.14,6.0,1069,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4907300.0,0.1226825
tt0438296,Push,2006.0,105,tt0438296,64849,1100000.0,590000.0,R,Push,,"Drugs, sex, and the allure of fast money blur the boundaries between two very different sides of society.",en,2006-06-01,1.082,4.1,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-510000.0,-0.4636363636363636
tt1633356,Shark Night,2011.0,90,tt1633356,65055,28000000.0,10126500.0,PG-13,Shark Night 3D,/cjfRqUXtNc2iJHfP60HTq9nFs0.jpg,Terror runs deep.,en,2011-09-02,15.577,5.0,424,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-17873500.0,-0.6383392857142857
tt1596365,The Woman in Black,2012.0,95,tt1596365,65086,17000000.0,127731000.0,PG-13,The Woman in Black,/aJbeDPUwDe9MLpseTFrNTBaQPzf.jpg,What did they see?,en,2012-02-03,20.178,6.1,3007,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,110731000.0,6.513588235294118
tt1582271,The Good Doctor,2011.0,91,tt1582271,65650,6000000.0,5206.0,R,The Good Doctor,/fJSdqHzpMeCkXMrILYt1SdGN2sL.jpg,Do no harm.,en,2011-04-23,18.304,6.2,191,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5994794.0,-0.9991323333333333
