tconst,Genre_ID
tt0157583,19
tt0157836,13
tt0157836,24
tt0158033,4
tt0158033,8
tt0158622,5
tt0158622,9
tt0158622,19
tt0159273,0
tt0159273,8
tt0159273,24
tt0159290,8
tt0159290,14
tt0159291,5
tt0159365,2
tt0159365,8
tt0159365,12
tt0159369,7
tt0159371,5
tt0159371,8
tt0159371,19
tt0159378,0
tt0159378,8
tt0159378,22
tt0159396,24
tt0159784,4
tt0159784,6
tt0159784,8
tt0160009,0
tt0160009,2
tt0160009,6
tt0160127,0
tt0160127,2
tt0160127,5
tt0160182,5
tt0160184,6
tt0160184,24
tt0160239,5
tt0160239,19
tt0160240,5
tt0160240,8
tt0160256,24
tt0160261,24
tt0160270,5
tt0160275,0
tt0160275,8
tt0160289,6
tt0160289,8
tt0160289,16
tt0160399,8
tt0160399,16
tt0160399,20
tt0160403,5
tt0160425,5
tt0160425,19
tt0160434,24
tt0160447,5
tt0160480,5
tt0160480,8
tt0160480,19
tt0160484,8
tt0160484,13
tt0160484,24
tt0160495,6
tt0160495,8
tt0160495,16
tt0160547,5
tt0160547,6
tt0160547,8
tt0160611,5
tt0160611,6
tt0160616,8
tt0160616,19
tt0160616,24
tt0160644,8
tt0160644,16
tt0160644,19
tt0160652,24
tt0160663,6
tt0160663,8
tt0160663,24
tt0160706,6
tt0160706,8
tt0160706,24
tt0160710,5
tt0160710,14
tt0160710,19
tt0160749,8
tt0160749,19
tt0160751,8
tt0160751,9
tt0160759,8
tt0160759,24
tt0160797,8
tt0160797,24
tt0160797,25
tt0160859,24
tt0160870,24
tt0160905,5
tt0160905,9
tt0161003,8
tt0161081,8
tt0161081,13
tt0161081,16
tt0161083,5
tt0161083,6
tt0161088,8
tt0161216,4
tt0161216,8
tt0161216,19
tt0161860,4
tt0161860,8
tt0161860,12
tt0162030,13
tt0162030,20
tt0162030,24
tt0162203,5
tt0162203,19
tt0162222,2
tt0162222,8
tt0162222,19
tt0162346,5
tt0162346,8
tt0162650,0
tt0162650,6
tt0162650,24
tt0162711,5
tt0162711,6
tt0162711,16
tt0162838,8
tt0162983,5
tt0162983,8
tt0163025,0
tt0163025,2
tt0163025,20
tt0163080,3
tt0163080,9
tt0163080,15
tt0163125,5
tt0163125,8
tt0163125,24
tt0163246,5
tt0163246,9
tt0163246,19
tt0163596,6
tt0163596,8
tt0163596,16
tt0163676,8
tt0163676,16
tt0163676,24
tt0163745,5
tt0163745,8
tt0163764,0
tt0163764,2
tt0163764,5
tt0163978,2
tt0163978,8
tt0163978,19
tt0163983,6
tt0163983,8
tt0163983,13
tt0164003,6
tt0164003,8
tt0164003,24
tt0164052,0
tt0164052,13
tt0164052,20
tt0164182,8
tt0164184,0
tt0164184,8
tt0164184,24
tt0164192,5
tt0164192,13
tt0164192,20
tt0164212,6
tt0164212,8
tt0164212,24
tt0164318,8
tt0164318,24
tt0164334,8
tt0164334,24
tt0164545,8
tt0164810,5
tt0164810,19
tt0164953,5
tt0164953,24
tt0164961,0
tt0164961,6
tt0164961,10
tt0165361,6
tt0165361,8
tt0165400,0
tt0165400,20
tt0165452,5
tt0165642,0
tt0165642,8
tt0165713,8
tt0165800,8
tt0165800,24
tt0165832,2
tt0165832,5
tt0165832,8
tt0165928,24
tt0165929,0
tt0165929,6
tt0165929,24
tt0165982,2
tt0165982,3
tt0165982,5
tt0166013,4
tt0166013,6
tt0166013,8
tt0166069,5
tt0166069,13
tt0166069,20
tt0166110,6
tt0166110,13
tt0166158,5
tt0166158,8
tt0166186,8
tt0166192,5
tt0166192,9
tt0166192,16
tt0166276,3
tt0166276,5
tt0166276,10
tt0166339,5
tt0166370,10
tt0166370,13
tt0166813,2
tt0166813,3
tt0166813,8
tt0166924,8
tt0166924,16
tt0166924,24
tt0167116,0
tt0167116,19
tt0167116,24
tt0167183,5
tt0167183,8
tt0167190,0
tt0167190,2
tt0167190,10
tt0167203,2
tt0167203,4
tt0167203,8
tt0167260,0
tt0167260,2
tt0167260,8
tt0167261,0
tt0167261,2
tt0167261,8
tt0167360,8
tt0167360,9
tt0167367,0
tt0167367,6
tt0167367,24
tt0167456,0
tt0167456,2
tt0167456,5
tt0168446,8
tt0168504,0
tt0168504,5
tt0168504,6
tt0168509,5
tt0168509,8
tt0168509,16
tt0168515,7
tt0168515,14
tt0168578,5
tt0168578,19
tt0168612,6
tt0168612,8
tt0168612,16
tt0168629,6
tt0168629,8
tt0168629,15
tt0168631,6
tt0168631,8
tt0168631,24
tt0168714,0
tt0168786,4
tt0168786,8
tt0168856,2
tt0168856,3
tt0168856,5
tt0169102,8
tt0169102,15
tt0169102,22
tt0169122,8
tt0169122,19
tt0169324,6
tt0169324,8
tt0169324,24
tt0169543,24
tt0169579,8
tt0170008,5
tt0170016,5
tt0170016,9
tt0170016,10
tt0170367,5
tt0170452,0
tt0170452,2
tt0170452,8
tt0170508,8
tt0170508,12
