tconst,averageRating,numVotes
tt0185183,2.5,80475
tt0185431,5.3,106537
tt0185542,6.2,432
tt0186029,4.9,79
tt0186045,5.7,14812
tt0186151,7.4,109227
tt0186183,6.1,3623
tt0186202,5.6,915
tt0186221,7.8,18
tt0186454,3.7,461
tt0186549,5.4,411
tt0186566,6.5,82116
tt0186589,5.7,14506
tt0186719,4.1,208
tt0186785,7.6,32
tt0186894,5.8,21051
tt0186975,5.0,15226
tt0187078,6.5,279765
tt0187387,5.4,141
tt0187393,7.2,276134
tt0187512,5.0,5672
tt0187559,5.9,846
tt0187696,6.0,13556
tt0187738,6.7,220151
tt0187750,4.8,364
tt0187761,5.8,117
tt0187847,6.7,43
tt0188028,6.9,147
tt0188045,5.4,296
tt0188055,5.4,2260
tt0188128,6.6,1306
tt0188160,6.1,878
tt0188424,7.4,15
tt0188453,6.0,25696
tt0188490,6.6,84
tt0188518,5.8,861
tt0188575,5.5,78
tt0188688,4.5,156
tt0189192,5.7,19408
tt0189456,4.3,3524
tt0189541,4.8,1591
tt0189998,6.9,42354
tt0190052,4.3,124
tt0190138,6.7,122074
tt0190332,7.9,269933
tt0190374,3.6,33771
tt0190398,4.9,225
tt0190449,6.2,88
tt0190524,4.3,9873
tt0190590,7.7,312653
tt0190736,4.2,608
tt0190861,6.6,7927
tt0190865,5.9,62293
tt0190938,5.4,992
tt0190994,4.6,146
tt0191037,5.6,2290
tt0191074,5.2,3357
tt0191133,5.5,7284
tt0191177,5.2,88
tt0191211,5.5,51
tt0191242,5.1,617
tt0191397,6.6,65719
tt0191636,7.2,5597
tt0191754,6.1,50739
tt0191787,5.8,78
tt0191996,6.1,4134
tt0192023,6.3,2481
tt0192071,5.7,19234
tt0192110,8.3,39
tt0192111,5.4,14720
tt0192126,4.1,622
tt0192237,6.8,141
tt0192255,5.7,10723
tt0192295,5.7,635
tt0192346,6.6,63
tt0192455,4.7,3796
tt0192528,3.8,117
tt0192614,5.6,32610
tt0192719,4.7,676
tt0192731,4.3,17937
tt0192788,6.3,1281
tt0192789,6.6,25
tt0192912,4.1,120
tt0192947,7.8,50
tt0192949,5.6,1755
tt0193011,5.2,51
tt0193135,5.5,195
tt0193318,3.1,741
tt0193364,4.6,8664
tt0193365,7.2,28
tt0193537,4.0,108
tt0193545,5.7,193
tt0193560,5.2,6088
tt0193598,6.4,22
tt0193854,6.2,2339
tt0193859,4.4,91
tt0194104,7.0,2922
tt0194143,4.9,756
tt0194218,6.7,8611
tt0194368,6.0,4121
tt0194410,4.2,421
tt0194519,6.8,369
tt0195108,7.3,8
tt0195234,6.9,18647
tt0195308,4.4,371
tt0195393,4.9,124
tt0195551,6.4,65
tt0195631,4.9,362
tt0195685,7.4,198998
tt0195714,6.7,257446
