imdb_id,collection_id
tt0997084,1421
tt1111358,1080
tt11655094,2020
tt12343722,1310
tt1260515,2350
tt2145590,847
tt2165999,1350
tt2623074,1745
tt4130762,2339
tt4130788,2339
tt6449044,1991
tt0167260,2116
tt0172156,209
tt0181852,2211
tt0222812,1582
tt0234215,2124
tt0242653,2124
tt0250638,1450
tt0251736,683
tt0254481,1082
tt0257076,1643
tt0257568,1036
tt0266543,681
tt0266697,1056
tt0274166,993
tt0276919,2349
tt0279111,122
tt0283426,2095
tt0285823,1271
tt0290334,2473
tt0295700,2469
tt0295721,1893
tt0299478,1684
tt0300471,1715
tt0301470,978
tt0302566,311
tt0305357,379
tt0306047,1682
tt0307987,212
tt0309593,676
tt0309916,2405
tt0312358,135
tt0312700,2044
tt0313911,86
tt0315327,112
tt0317303,479
tt0317676,897
tt0318850,1960
tt0320691,2365
tt0322259,2035
tt0322330,703
tt0322545,254
tt0322589,883
tt0324216,1917
tt0325703,2294
tt0325980,1494
tt0328828,125
tt0328844,1472
tt0328880,326
tt0329028,592
tt0329101,711
tt0330069,294
tt0333780,1128
tt0337711,1634
tt0338135,2009
tt0338459,1802
tt0338763,231
tt0338828,1208
tt0339091,737
tt0340110,655
tt0340855,88
tt0347585,1316
tt0348088,1798
tt0348591,1337
tt0348843,987
tt0349205,384
tt0349333,494
tt0351299,2528
tt0351887,2230
tt0352376,784
tt0354448,2326
tt0356922,1632
tt0357959,1482
tt0361354,242
tt0362511,572
tt0363852,1401
tt0364447,1339
tt0364569,2238
tt0364930,89
tt0365067,417
tt0366291,311
tt0366292,1419
tt0366526,778
tt0367913,1002
tt0368045,620
tt0368721,653
tt0368909,1424
tt0369032,2333
tt0369060,942
tt0369295,314
tt0370082,2441
tt0373283,1657
tt0374102,1429
tt0374269,1897
tt0374339,942
tt0374345,2402
tt0374506,2050
tt0374887,1319
tt0375934,1178
tt0376144,1649
tt0379225,1992
tt0379593,2258
tt0379878,582
tt0380291,1266
tt0382868,1343
tt0385754,1346
tt0386428,619
tt0387075,291
tt0388230,1215
tt0389727,2333
tt0390067,801
tt0391539,929
tt0395524,606
tt0396659,951
tt0396781,1441
tt0415219,1541
tt0416854,2363
tt0420076,1510
tt0422702,596
tt0425153,2207
tt0446930,1037
tt0452860,1711
tt0456125,2020
tt0473474,570
tt0783724,804
tt1006926,1421
tt1133935,528
tt1149379,455
tt12223810,2554
tt1252299,920
tt2243192,2350
tt3165394,1955
tt3533690,1578
tt3679304,2343
tt6352612,1514
tt0167190,856
tt0204313,2029
tt0270846,204
tt0289879,1975
tt0290002,1259
tt0296572,1984
tt0297741,165
tt0298148,1732
tt0304141,833
tt0315273,1952
tt0316654,1794
tt0317198,322
tt0317705,2087
tt0318627,1598
tt0327247,2246
tt0330793,2169
tt0331632,1687
tt0335345,1465
tt0337103,1996
tt0337579,223
tt0337697,2164
tt0338096,552
tt0342689,1137
tt0345235,2479
tt0345950,1800
tt0347246,755
tt0347591,2131
tt0349903,1405
tt0350061,1612
tt0351977,2419
tt0353489,760
tt0355836,1394
tt0356470,404
tt0356634,740
tt0357413,137
tt0357585,516
tt0358349,86
tt0359013,282
tt0364079,2322
tt0364751,2458
tt0365265,760
tt0365770,1768
tt0365957,2488
tt0366174,133
tt0366551,832
tt0368891,1357
tt0368933,2165
tt0370263,66
tt0372183,1969
tt0372594,2393
tt0372884,603
tt0373690,171
tt0377092,1252
tt0377713,471
tt0378194,1056
tt0380538,1060
tt0381487,982
tt0381681,243
tt0382295,1703
tt0384116,732
tt0386005,1515
tt0386327,266
tt0387564,1678
tt0387575,395
tt0388098,690
tt0388349,1588
tt0388556,2496
tt0390320,1410
tt0390521,1853
tt0391198,2062
tt0396184,1554
tt0396223,1773
tt0398373,2230
tt0398378,2390
tt0399102,778
tt0399877,2435
tt0401233,159
tt0402014,69
tt0403358,2467
tt0403703,2493
tt0404090,810
tt0404225,1246
tt0405061,2031
tt0405507,1321
tt0406977,1243
tt0408281,2337
tt0410370,2521
tt0410454,2256
tt0411263,868
tt0414852,554
tt0415481,2270
tt0415689,333
tt0416465,98
tt0418259,94
tt0419954,1251
tt0420251,2269
tt0422091,539
tt0424472,1858
tt0426275,2354
tt0427314,520
tt0430772,1064
tt0435202,1289
tt0435286,1510
tt0436774,484
tt0442286,1664
tt0443073,1476
tt0444759,172
tt0446320,2025
tt0449927,1824
tt0450996,1965
tt0451109,484
tt0451218,1841
tt0459425,1036
tt0459427,1044
tt0459429,1044
tt0459430,1044
tt0468862,1752
tt0470132,1050
tt0470536,2114
tt0472458,2269
tt0473658,951
tt0475147,2114
tt0476680,1354
tt0780179,870
tt0803019,1050
tt0805605,1656
tt1010435,1421
tt1133559,528
tt1147516,570
tt12139764,2554
tt1390932,701
tt2637720,751
tt0120667,651
tt0121766,1811
tt0264323,17
tt0285175,843
