imdb_id,company_id
tt0156757,26089
tt0156807,55669
tt0156807,1505
tt0156807,26731
tt0156812,29711
tt0156812,15620
tt0156812,12681
tt0156812,14973
tt0156841,48048
tt0156841,13800
tt0156942,43636
tt0157122,50950
tt0157262,34250
tt0157262,11049
tt0158033,46494
tt0158622,29982
tt0158622,26268
tt0158622,10859
tt0159396,38197
tt0159396,19271
tt0159784,40057
tt0160009,29992
tt0160009,9409
tt0160009,16672
tt0160009,27112
tt0160009,12210
tt0160009,8834
tt0160127,34570
tt0160127,24481
tt0160127,9109
tt0160127,14061
tt0160484,46656
tt0160484,2192
tt0160484,19875
tt0160495,37260
tt0160495,15949
tt0160611,43736
tt0160611,9683
tt0160611,8881
tt0160611,11699
tt0160611,16399
tt0160611,24564
tt0160611,24954
tt0160611,25780
tt0160616,50029
tt0160616,19064
tt0160616,4745
tt0160652,57138
tt0160652,19187
tt0160663,57527
tt0160749,53553
tt0160751,50009
tt0160759,57473
tt0160759,20196
tt0160759,6631
tt0160797,46186
tt0160797,18698
tt0160797,22180
tt0161081,36315
tt0161081,130
tt0161081,11793
tt0161216,30492
tt0162222,28581
tt0162222,7087
tt0162222,11793
tt0162222,19353
tt0162650,48048
tt0162650,21899
tt0162650,17362
tt0162650,22238
tt0162650,16900
tt0162711,51127
tt0162983,46966
tt0162983,10111
tt0162983,13936
tt0162983,5506
tt0163080,30941
tt0163080,7764
tt0163080,11699
tt0163080,17415
tt0163080,19614
tt0163676,45940
tt0163676,27112
tt0163745,33662
tt0163745,17172
tt0163978,37747
tt0163983,46185
tt0163983,18698
tt0163983,11699
tt0164052,34570
tt0164052,20580
tt0164052,10111
tt0164192,50090
tt0164212,53690
tt0164212,20764
tt0164318,40466
tt0164953,36226
tt0164953,17337
tt0165400,50675
tt0165642,54551
tt0165642,19342
tt0165800,42996
tt0165800,17691
tt0165928,29810
tt0165929,52009
tt0165929,27112
tt0166370,41357
tt0167203,34570
tt0168446,37978
tt0168446,17669
tt0168446,9459
tt0168504,46729
tt0168504,17443
tt0168515,31028
tt0168515,23672
tt0168515,3222
tt0168612,43708
tt0168629,43173
tt0168629,8921
tt0168629,27955
tt0168629,6194
tt0168629,21521
tt0168629,650
tt0168629,16029
tt0168629,9402
tt0168629,1473
tt0168629,27705
tt0168629,3361
tt0168629,14265
tt0168629,28345
tt0168629,18521
tt0168629,25873
tt0168629,5106
tt0168629,27272
tt0168629,8783
tt0168629,8710
tt0168629,4339
tt0168629,651
tt0168629,8696
tt0168629,24342
tt0168629,26952
tt0168629,5648
tt0168629,26431
tt0168631,29454
tt0168631,5008
tt0168631,5151
tt0168631,5915
tt0168631,11624
tt0168631,15609
tt0168856,53770
tt0168856,487
tt0168856,7470
tt0168856,8171
tt0168856,12280
tt0168856,7985
tt0168856,10840
tt0168856,8174
tt0169324,35348
tt0169324,6407
tt0169543,33635
tt0170016,55706
tt0170016,11823
tt0170016,3758
tt0170016,13612
tt0170691,42657
tt0170691,10773
tt0170691,17407
tt0170691,130
tt0171356,38485
tt0171356,11292
tt0171359,45628
tt0171359,28149
tt0171433,52736
tt0171433,25617
tt0171433,25811
tt0171580,40910
tt0171580,10379
tt0171580,19819
tt0171580,26268
tt0171580,26089
tt0171580,18509
tt0172464,35075
tt0172495,55706
tt0172495,21895
tt0172495,20580
tt0172495,16271
tt0172495,4025
tt0172495,6411
tt0172495,7087
tt0172699,49184
tt0172699,6895
tt0172794,39980
tt0172794,1677
tt0172794,16164
tt0173716,48754
tt0173716,1880
tt0173716,4339
tt0174336,40422
tt0174480,43120
tt0174480,16136
tt0175114,35787
tt0175142,32662
tt0175142,10204
tt0175142,27169
tt0175142,6749
tt0176244,50538
tt0176579,51247
tt0176783,46362
tt0176783,18338
tt0176783,26732
tt0176783,27112
tt0177068,54492
tt0177068,5046
tt0177185,39316
tt0177185,25837
tt0177195,52527
tt0177195,14526
tt0177650,37810
tt0177650,10497
tt0177650,12170
tt0177650,10498
tt0177650,27461
tt0177650,26209
tt0177650,18708
tt0177650,18816
tt0177845,50158
tt0177845,4734
tt0177845,8710
tt0177845,4339
tt0177845,8614
tt0177858,49373
tt0177858,27653
tt0177858,637
tt0177971,31398
tt0177971,20240
tt0177971,27112
tt0178043,31817
tt0178043,26151
tt0178050,38558
tt0178050,25011
tt0179144,43186
tt0179183,54235
tt0179220,48428
tt0179220,11673
tt0179400,52950
tt0179473,55186
tt0179473,6555
tt0179473,16786
tt0179861,36675
tt0180073,33784
tt0180073,9365
tt0180073,11998
tt0180073,27061
tt0180073,11290
tt0180093,30663
tt0180093,25295
tt0180093,19858
tt0180683,49430
tt0181151,34570
tt0181151,3801
tt0181311,31838
tt0181311,11566
tt0181311,12336
tt0181536,43259
tt0181536,9320
tt0181536,5506
tt0181836,45559
tt0181836,3801
tt0181865,55513
tt0181865,12064
tt0181865,2795
tt0181865,13930
tt0181865,5577
tt0181875,36315
tt0181875,5506
tt0181875,26756
tt0181945,37764
tt0181984,46656
tt0182295,51658
tt0182295,18826
tt0182295,12170
tt0182295,1927
tt0182295,23865
tt0182295,16399
tt0183056,57506
tt0183056,9400
tt0183056,9402
tt0183056,1927
tt0183056,3818
tt0183056,14092
tt0183056,27341
tt0183056,3819
tt0183142,33372
tt0183142,13362
tt0183280,38317
tt0183505,34757
tt0183505,130
tt0183523,49936
tt0183523,25617
tt0183523,23306
tt0183523,24985
tt0183523,23865
tt0183550,51866
tt0183550,3046
tt0183550,2147
tt0183550,12226
tt0183639,49377
tt0183659,57485
tt0183659,9420
tt0183869,29205
tt0183869,24248
tt0183869,4339
tt0183869,14004
tt0183869,8002
tt0184858,35941
tt0184858,15671
tt0184894,50519
tt0184894,23306
tt0184894,25617
tt0184907,52334
tt0184907,18698
tt0184907,17495
tt0184907,14993
tt0184907,17369
tt0184907,4044
tt0185007,56517
tt0185014,48048
tt0185014,16945
tt0185014,21899
tt0185014,6055
tt0185014,2292
tt0185014,15672
tt0185014,24306
tt0185014,24640
tt0185014,14993
tt0185183,38609
tt0185183,12704
tt0185183,12467
tt0185183,27112
tt0185183,16672
tt0185431,31015
tt0185431,17390
tt0185431,10893
tt0185431,20178
tt0185431,20965
tt0185542,43541
tt0186029,29149
tt0186029,23385
tt0186045,46595
tt0186045,5421
tt0186151,46656
tt0186183,46198
tt0186183,12387
tt0186183,6898
tt0186454,34331
