tconst,primaryTitle,startYear,runtimeMinutes,imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count,Genre_Name,Genre_Action,Genre_Adult,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Game-Show,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Reality-TV,Genre_Romance,Genre_Sci-Fi,Genre_Short,Genre_Sport,Genre_Talk-Show,Genre_Thriller,Genre_War,Genre_Western,profit,ROI
tt0134983,Supernova,2000.0,90,tt0134983,90000000.0,14828100.0,R,en,2000-01-14,8.525,5.0,285,"Horror,Sci-Fi,Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,-75171900.0,-0.8352433333333333
tt0138524,Intolerable Cruelty,2003.0,100,tt0138524,60000000.0,119941000.0,PG-13,en,2003-09-02,9.554,6.0,1167,"Comedy,Romance,Crime",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,59941000.0,0.9990166666666667
tt0138749,The Road to El Dorado,2000.0,89,tt0138749,95000000.0,76432700.0,PG,en,2000-03-31,41.255,7.2,3130,"Comedy,Adventure,Animation",False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-18567300.0,-0.19544526315789473
tt0139654,Training Day,2001.0,122,tt0139654,45000000.0,104876000.0,R,en,2001-10-05,26.823,7.5,4680,"Drama,Action,Crime",True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,59876000.0,1.3305777777777779
tt0141907,Town & Country,2001.0,104,tt0141907,90000000.0,10372300.0,R,en,2001-04-27,5.074,4.6,50,"Comedy,Romance",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-79627700.0,-0.8847522222222223
tt0141926,U-571,2000.0,116,tt0141926,62000000.0,127666000.0,PG-13,en,2000-04-20,17.581,6.4,941,"Action,War",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,65666000.0,1.0591290322580644
tt0144084,American Psycho,2000.0,102,tt0144084,7000000.0,34266600.0,R,en,2000-04-13,40.034,7.4,7902,"Drama,Horror,Crime",False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,27266600.0,3.8952285714285715
tt0144528,Nutty Professor II: The Klumps,2000.0,106,tt0144528,84000000.0,123308000.0,PG-13,en,2000-07-27,13.86,5.0,1049,"Comedy,Romance,Sci-Fi",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,39308000.0,0.46795238095238095
tt0144964,Highlander: Endgame,2000.0,87,tt0144964,25000000.0,15843600.0,R,en,2000-09-01,10.47,4.9,308,"Fantasy,Action,Adventure",True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-9156400.0,-0.366256
tt0145487,Spider-Man,2002.0,121,tt0145487,139000000.0,821709000.0,PG-13,en,2002-05-01,111.724,7.2,15688,"Sci-Fi,Action,Adventure",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,682709000.0,4.911575539568346
